"Ссылка","Описание источника","Категория"
http://memorial-katyn.ru/en/martirolog.html,"Смоленск","Источники"
http://www.memory-book.com.ua/,"Украина","Источники"
http://www.reabit.org.ua/nbr/,"Украина","Источники"
http://www.reabit.org.ua/books/,"Украина","Источники"
http://kluchnik-v.narod.ru/KP-01/spisok-01-000.htm,"Ярославская область","Источники"
http://www.memorial.yaroslavl.ru/spisky/spiski_frame.htm,"Ярославль","Источники"
http://skorbim.com/,"Поиск могил","Источники"
http://www.findagrave.com/,"Find a grave","Источники"
http://www.moscow-tombs.ru/,"Захоронения известных людей на кладбищах Москвы и Подмосковья","Источники"
http://billiongraves.com/,"Billion graves","Источники"
http://www.belgium.mid.ru/map/map.html,"Захоронения советских военнопленных и партизан, погибших во время Второй мировой войны на территории Бельгии","Источники"
http://www.dokst.ru/main/content/%D0%9A%D0%BB%D0%B0%D0%B4%D0%B1%D0%B8%D1%89%D0%B0/%D0%BA%D0%BB%D0%B0%D0%B4%D0%B1%D0%B8%D1%89%D0%B0-%D1%81%D0%BE%D0%B2%D0%B5%D1%82%D1%81%D0%BA%D0%B8%D1%85-%D0%B3%D1%80%D0%B0%D0%B6%D0%B4%D0%B0%D0%BD,"Кладбища советских граждан в Бельгии, Германии и Норвегии","Источники"
http://www.mosobl-memorial.ru/,"База данных убитых, похороненных и пропавших без вести на территории Московской области в 1941-1942 годах","Источники"
http://www.lenww2.ru/,"Памятники Второй мировой войны 1939–1945 гг. Санкт-Петербурга и Ленинградской области","Источники"
http://gov.spb.ru/gov/terr/reg_kronsht/perechen-voinskih-zahoronenij-kronshtadtskogo-rajona/,"Воинские захоронения в г. Санкт-Петербурге","Источники"
http://gov.spb.ru/gov/terr/reg_kalinin/voinskie-zahoroneniya/,"Воинские захоронения в г. Санкт-Петербурге","Источники"
http://gov.spb.ru/gov/terr/reg_petrodv/perechen-voinskih-zahoronenij-v-petrodvorcovom-rajone/,"Воинские захоронения в г. Санкт-Петербурге","Источники"
http://gov.spb.ru/gov/terr/reg_pushkin/voinskie-zahoroneniya-i-memorialy/,"Воинские захоронения в г. Санкт-Петербурге","Источники"
http://www.krigsgraver.no/home?locale=ru,"Военные могилы иностранцев в Норвегии","Источники"
http://db.militaryheritage.eu/,"Захоронения советских воинов в Литовской Республике","Источники"
http://opendata71.ru/opendata/7107028097-ukvz,"Информация о захоронениях воинов, погибших в годы Великой Отечественной войны 1941-1945 гг., расположенных на территории Тульской области","Источники"
http://www.hrono.ru/geneal/index.php,"Правители","Родословные"
http://topclas.org/,"Генеалогия (Родословные) правивших семейств России и Европы","Родословные"
http://www.elim.kz/,"Единое Шежере Казахов","Родословные"
http://genealogia.ru/users/genfamous/,"Знаменитые потомки князя Рюрика. Россия, Европа, США","Родословные"
http://www.genealogy.zp.ua/,"Генеалогия Украины","Родословные"
http://ru.rodovid.org/,"Многоязычное генеалогическое древо","Родословные"
http://book-old.ru/BookLibrary/00606-Rodoslovnyie-dvoryan.html,"Родословные дворян и архивы","Родословные"
http://elib.shpl.ru/indexes/values/1971,"Генеалогические и биографические справочники","Родословные"
http://clan-alalykin.ru/ru_2main.html,"Алалыкины","Родословные"
http://www.alfeev.ru/,"Алфеевы","Родословные"
http://www.hot.ee/a/antsiferov/,"Анциферовы","Родословные"
http://genealogy-ark.3dn.ru/,"Бидюковы","Родословные"
http://www.bogatov.info/,"Богатовы","Родословные"
http://bronnikovy.ru/,"Бронниковы","Родословные"
http://wysocki.nsknet.ru/,"Высоцкие","Родословные"
http://gorbunov.web-box.ru/,"Горбуновы","Родословные"
http://gromov-drankin.livejournal.com/,"Громов","Родословные"
http://www.evsyukov.ru/,"Евсюковы","Родословные"
http://kabak.dp.ua/,"Кабак","Родословные"
http://www.kandinsky.ru/,"Кандинские","Родословные"
http://www.okorneva.ru/,"Корневы","Родословные"
http://hunter-general.narod.ru/,"Лаптевы","Родословные"
http://www.matusewicz.org/,"Матусевичи","Родословные"
http://rod.meller.su/,"Меллеры","Родословные"
http://www.mukhanov.ru/,"Мухановы","Родословные"
http://sgd.ucoz.ru/,"Никифоровы","Родословные"
http://anshar.livejournal.com/tag/%D0%92%D0%BE%D1%81%D0%BF%D0%BE%D0%BC%D0%B8%D0%BD%D0%B0%D0%BD%D0%B8%D1%8F,"Омельянчук","Родословные"
http://palashkina.narod.ru/,"Палашкины","Родословные"
http://potanin.clan.su/,"Потанины","Родословные"
http://www.remezovi.ru/site/,"Ремезовы","Родословные"
http://www.serdyuk.com/,"Сердюк","Родословные"
http://sedfed.ucoz.ru/,"Седельниковы","Родословные"
http://bolknote.ru/write/?myheritage,"Степанищевы","Родословные"
